"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Belize","BLZ","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","9.26000022888184","","","","","","","","","","14","","","","","","","","","","","21.7900009155273","","","","","","","","","","","","","","","","","","","83.9300003051758","","","81.0536117553711","82.3578414916992","40.9126396179199","83.3302383422852","","","45.7283134460449","52.1599998474121","","","",
"Bermuda","BMU","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","54.2000007629395","","","","","","","","","","","","","","","","","","","","","81.3099975585938","","","","","","","","","91.5400009155273","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","22.8799991607666","","","","","","","","","","","","","","","","44.6800003051758","","","","","","","","43.2000007629395","41.5900001525879","39.9500007629395","","40.0200004577637","44.6399993896484","46.3499984741211","49.8800010681152","49.6300010681152","51.3400001525879","","53.9900016784668","56.2400016784668","58.6500015258789","54.7099990844727","56.4099998474121","57.4199981689453","57.6199989318848","58.9500007629395","62.5299987792969","62.5","63.7299995422363","61.2622833251953","62.4274368286133",
"Brazil","BRA","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","11.5200004577637","","","","","","10","","","","11.8299999237061","","","","","","","","","","","","","","","","","","","","","37.75","39.2200012207031","40.8400001525879","42.1100006103516","43.1300010681152","45.25","47.25","49.2900009155273","50.1199989318848","50.6199989318848","53.4900016784668","54.5200004577637","55.7599983215332","56.25","57.4900016784668","60.0900001525879","60.6399993896484","61.810001373291","62.9900016784668","65.1999969482422","66.2399978637695","66.5100021362305","68.8101654052734",
"Barbados","BRB","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","65.3000030517578","","","","","","","","","","66.8000030517578","","","","","","","","","","","","","","","","","","","","78.0999984741211","","","","","","","","","","","","","","","45.4208297729492","64.8206176757812","47.281608581543","49.4243774414062","49.6092338562012","","","","",
"Brunei Darussalam","BRN","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","19.5","","","","","","","","","","39.5900001525879","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.8000030517578","","","89.5446929931641","","","83.9569778442383","84.76025390625","83.6519546508789","83.5632247924805","85.8514404296875","87.5089111328125","",
"Bhutan","BTN","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.60000038146973","","","","","28.2199993133545","","","","","","",
"Botswana","BWA","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","3.08999991416931","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.608024597168","68.7382202148438","71.1575546264648","70.0046463012695","71.9414672851562",
"Central African Republic","CAF","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.44999980926514","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.5487499237061","","","","",
"Canada","CAN","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","60.2000007629395","","63.4599990844727","","","","67.4700012207031","","","","","74.2699966430664","","","","","78.870002746582","","","","","83.620002746582","","","","","","","","","","","","","","","","","","","92.8302536010742","93.145133972168","93.5289535522461","93.7035903930664","93.9242706298828","94.2533645629883","94.4660949707031","94.8020858764648","95.1618194580078","95.113395690918","95.5116195678711","95.9441070556641","96.1069641113281","96.3000946044922",
