Country Name,last_gdp_per_capita,avg_gdp_per_capita,avg_pop_growth,avg_saving_rate,avg_resource_rents,avg_educ_attained,high_resources,OECD
Ethiopia,1272.01628209211,490.3951945028,2.82202646681875,28.4194421854918,16.1515528685816,12.7757472197215,1,0
Faroe Islands,71717.7042204698,49829.3042131503,0.783202873023246,26.8996249275465,0,,0,0
Fiji,5888.73668639357,4185.18272908098,0.438513737736347,13.6883989264331,1.26618811107381,75.065439860026,0,0
Finland,52925.6897638424,44051.9827054921,0.324552320989917,25.8029185991369,0.421443838413644,86.5483069786659,0,1
France,44690.9345395117,37748.4515989876,0.504376468358026,22.0050388567377,0.046490290023347,82.2694838674445,0,1
Gabon,7802.83659565049,7221.74444499881,2.88602942482267,39.2355870609911,28.8419728444423,,1,0
"Gambia, The",888.157407724123,661.058396893313,2.68655581886601,13.1791180305982,3.92353233649106,33.5388674736023,0,0
Georgia,8283.66960242964,3550.35977453175,-0.468046513251868,14.7167730620533,0.832162613645686,93.9070302327474,0,0
Germany,54343.2265084958,41808.8841916999,0.0594477001983155,24.5186944782544,0.12976915104152,96.2797373721474,0,1
Ghana,2260.28741289427,1415.86959204214,2.36586479502459,15.2953253949359,11.4627020759053,51.5397911071777,1,0
Greece,23400.7278817691,21106.8501960319,-0.140209914305749,12.6442725406801,0.14805611880148,68.1335112627815,0,1
Guatemala,5762.82174615918,3273.9493503223,1.92357275006809,14.1756578059623,1.83994498172225,27.3695983886719,0,0
Guinea,1541.04050914957,774.886788997004,2.31484684805425,13.0567626362357,14.081681408811,19.7302947998047,1,0
Guinea-Bissau,951.242748289294,625.804948410009,2.40095444854119,11.0979152617578,14.590651323732,28.1593888600668,1,0
Guyana,20765.3503593109,5513.74663003286,0.324259394322344,11.8214007125965,14.1919650717288,53.4347133636475,1,0
Haiti,1705.77905452248,1199.99922883896,1.48352893658382,12.7878762033197,0.491749187797959,21.9309701919555,0,0
Honduras,3231.65724461936,1964.1938222142,2.11960820652818,19.5981917229262,1.51103020777327,26.7555064095391,0,0
"Hong Kong SAR, China",50531.7385421945,36660.1053492613,0.548544974803968,29.1561286536363,0.00231202475424223,76.1720016479492,0,0
Hungary,22141.8669799276,13260.9602821408,-0.271298212005492,21.9012879481086,0.456104168556873,96.7251839637756,0,1
Iceland,79636.9548578508,54863.6022221686,1.45543852551074,18.2945372814875,0.00012474151649877,94.4292951311384,0,1
India,2480.79208721621,1357.94003244477,1.35745141226614,32.2718190162277,3.19014131276858,45.2891052246094,0,0
Indonesia,4876.31432703188,2796.64027473341,1.1571531447387,29.1274957668845,6.66761171093124,48.2419825659858,0,0
"Iran, Islamic Rep.",4465.63766994952,4487.56796373849,1.35555934364916,37.93825045807,25.6668073464196,58.4602630615234,1,0
Iraq,5565.12644647176,4081.41182569922,2.689639170689,38.7837409118929,47.5237241563658,34.889253616333,1,0
Ireland,103887.800388081,61882.4056093316,1.44211859486321,26.6912841898328,0.0853221829657748,85.7499740600586,0,1
Israel,52642.4267486308,33726.2824816017,1.93985509436168,26.218397739186,0.181446753899826,88.2622774909524,0,1
Italy,39003.3160954123,33025.927554356,0.149353242875865,19.8519800919108,0.104452279349102,76.2975889507093,0,1
Jamaica,6839.72503886968,4819.89367852729,0.383958230090009,16.0473855716136,1.71386540882016,87.7147801717123,0,0
Japan,33766.5268253808,38929.9598002804,-0.0701579314639855,28.3055108412378,0.0295576462891363,98.620002746582,0,1
Jordan,4455.50540514568,3332.51244252186,3.22414501625865,20.3407508000445,1.19189331249748,73.6140790666853,0,0
Kazakhstan,12918.8661346014,7727.65598709306,1.14214007482029,27.9524672141501,21.8869079128466,96.9863082885742,1,0
Kenya,1952.30457929636,1210.27665206856,2.58836123403887,11.6269649356665,2.88888238375163,50.528997693743,0,0
Kiribati,2106.76000405677,1524.73720181769,1.74772370048305,30.9451544329642,0.0553744573261967,80.518045425415,0,0
"Korea, Rep.",33121.3712885508,24636.6023442941,0.432264501347543,34.5267486181141,0.057622466012327,85.2504146800322,0,0
Kosovo,5960.15820477447,4008.65385633313,-0.26460904365562,24.9788638541993,1.09836444149161,,0,0
Kuwait,33729.7985494456,35057.0915000389,3.90755806484343,45.1262052221945,45.9958249957354,50.9211116366916,1,0
Kyrgyz Republic,1970.15780961839,975.996646322381,1.59607360478909,17.3627035095397,5.20537100294597,96.1195678710937,0,0
Lao PDR,2066.94979776957,1430.80116408998,1.50537975169305,13.259077045815,7.9874093947184,32.3003705342611,0,0
Latvia,22502.8429938094,12660.0423577199,-1.00659670540594,26.6332291623389,1.32023639029143,98.4470427663703,0,1
Lebanon,3654.35845534878,6263.11765893884,1.27132254243327,0.0674766955319,0.00174402670520759,63.0603510538737,0,0
Lesotho,916.282979328622,930.401535057204,0.596340318347534,22.2580576735513,4.69121167893935,29.7659831047058,0,0
Libya,6172.81246940233,8555.31607755555,1.40219910060623,34.2485664960286,42.8832666200359,,1,0
Lithuania,27786.0057829276,13938.3890141192,-0.853333752272966,18.9038634012652,0.522503044484335,92.8852823045519,0,1
Luxembourg,128678.189942826,101832.386342666,1.82102440697627,23.719765016834,0.0443940777706238,86.1523294448852,0,1
"Macao SAR, China",67476.5290813306,50036.3613735202,1.92752579364593,47.8040706979796,0.000914244664016601,70.6158157348633,0,0
Madagascar,506.159368687808,431.008956100084,2.78194731233132,13.9805647540525,5.89124001846307,34.536395072937,0,0
Malaysia,11379.0861000632,8429.31892443601,1.86793405493596,31.2852726374341,9.50428634595052,73.1620986244895,0,0
Maldives,12530.3602359683,7433.10620650858,2.66577516688099,17.1874820561138,0.005636701968489,39.6355260848999,0,0
Mali,869.270234286992,644.136358694346,3.12512082698641,14.406103838957,7.8453971147532,10.5215184471824,0,0
Malta,40395.7692064458,23811.9519507618,1.47909697272755,21.0178259057364,0.00179148456558874,74.4220333099365,0,0
